entity_id,tu_trip_id,tu_route_id,tu_direction_id,tu_start_time,arrival_delay,stop_id,stop_sequence,schedule_relationship,route_type
106,11312_6049,72A,0,,855,1496,6,0,autobus
107,11312_6465,75B,1,,-20,1301,16,0,autobus
108,11312_3781,57,1,,9,1277,7,0,autobus
109,11312_6544,76,0,,46,348,25,0,autobus
110,11312_6515,75B,1,,-98,1157,44,0,autobus
110,11312_6515,75B,1,,-98,1157,44,0,autobus
111,11312_5354,69A,0,,153,1074,6,0,autobus
112,11312_10924,Z13,1,,-43,1542,22,0,autobus
113,11312_3113,52,1,,-18,907,12,0,autobus
114,11312_10943,Z13,1,,66,1298,10,0,autobus
115,11312_5394,69A,1,,-7,3224,13,0,autobus
116,11312_10614,W,1,,16,1385,4,0,autobus
117,11312_6761,77,1,,370,3034,19,0,autobus
117,11312_6761,77,1,,370,3034,19,0,autobus
117,11312_6761,77,1,,370,3034,19,0,autobus
118,11312_6091,72A,1,,90,1564,25,0,autobus
119,11312_6005,71B,0,,-76,3026,29,0,autobus
120,11312_9058,92A,0,,400,3522,28,0,autobus
121,11312_9196,93,1,,169,2776,17,0,autobus
122,11312_9093,92A,1,,-38,446,30,0,autobus
123,11312_4747,63,1,,-25,685,15,0,autobus
124,11312_9167,93,0,,17,923,18,0,autobus
125,11312_4631,62,1,,-22,196,17,0,autobus
126,11312_6384,75A,0,,13,192,15,0,autobus
127,11312_7693,82A,0,,23,1747,6,0,autobus
128,11312_9692,97B,1,,93,2078,2,0,autobus
129,11312_5873,70,1,,121,76,11,0,autobus
130,11312_9260,94,0,,-45,3093,15,0,autobus
131,11312_5385,69A,1,,92,2861,23,0,autobus
132,11312_3055,52,0,,80,2563,12,0,autobus
133,11312_5315,69A,0,,65,846,33,0,autobus
134,11312_9235,94,1,,31,3098,13,0,autobus
135,11312_5328,69A,0,,-80,912,29,0,autobus
136,11312_10853,Z13,0,,-121,81,27,0,autobus
137,11312_6496,75B,0,,28,2861,26,0,autobus
138,11312_4599,62,0,,52,221,7,0,autobus
139,11312_3547,55A,0,,-38,704,8,0,autobus
140,11312_5219,68,1,,137,3503,15,0,autobus
141,11312_3596,55A,1,,620,3613,22,0,autobus
142,11312_10781,Z,1,,-1178,769,13,0,autobus
143,11312_5843,70,1,,299,486,20,0,autobus
144,11312_6058,72A,0,,64,1695,2,0,autobus
145,11312_10873,Z13,0,,-100,766,16,0,autobus
146,11312_5942,71A,0,,178,2446,6,0,autobus
147,11312_6747,77,1,,36,562,10,0,autobus
148,11312_6702,77,0,,811,1103,9,0,autobus
149,11312_4705,63,0,,81,1682,18,0,autobus
150,11312_7731,82B,1,,186,1487,17,0,autobus
151,11312_3613,55A,1,,128,1563,21,0,autobus
152,11312_6104,72A,1,,331,553,9,0,autobus
153,11312_5745,70,0,,-18,1184,25,0,autobus
