entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
44,11312_7804,83,1387,51.81193923950195,19.37721061706543,3799,Szczecińska-Wersalska,3,0,autobus,1764788362,51.81123,19.37639
45,11312_8213,86,1391,51.75736999511719,19.434459686279297,977,Włókniarzy-Mickiewicza (Dw. Ł. Kaliska),12,2,autobus,1764788360,51.75695,19.43384
46,11312_3307,53B,1393,51.80432891845703,19.7545108795166,2039,Traugutta(Brzeziny),5,2,autobus,1764788350,51.80095,19.75263
47,11312_8258,86,1394,51.77396011352539,19.474950790405273,1369,Uniwersytecka-Rewolucji 1905r.,29,0,autobus,1764788354,51.77593,19.47699
48,11312_9457,96,1395,51.749481201171875,19.50334930419922,1079,Przybyszewskiego-Zapadła,15,2,autobus,1764788356,51.74888,19.49989
49,11312_5100,65A,1399,0.0,0.0,315,Łagiewnicka-r. Powstańców 1863r.,36,1,autobus,1764788352,51.8004,19.45721
50,11312_4975,65A,1469,51.764190673828125,19.43947982788086,1561,Żeligowskiego-Struga,17,2,autobus,1764788360,51.76508,19.43936
51,11312_9527,96,1471,51.78633117675781,19.43320083618164,628,Lutomierska-Czarnkowska,14,2,autobus,1764788364,51.78511,19.43787
52,11312_9872,99,1474,51.79798889160156,19.432939529418945,3063,Hipoteczna-Pojezierska,10,0,autobus,1764788360,51.79738,19.43268
53,11312_5029,65A,1475,51.77043914794922,19.428869247436523,374,1 Maja-Żeligowskiego,22,2,autobus,1764788356,51.77064,19.43709
54,11312_9336,96,1476,51.795989990234375,19.40195083618164,13,Aleksandrowska-Bielicowa,9,2,autobus,1764788358,51.79566,19.40353
55,11312_4478,60D,1478,51.788631439208984,19.48516082763672,1277,Palki-Smutna,10,2,autobus,1764788362,51.7873,19.48388
56,11312_5051,65A,1479,51.81127166748047,19.455490112304688,658,Łagiewnicka-Morelowa NŻ,7,2,autobus,1764788358,51.80763,19.4581
57,11312_7841,83,1480,51.76908874511719,19.44607925415039,1245,Żeromskiego-pl. Barlickiego,11,2,autobus,1764788360,51.76892,19.44621
58,11312_7485,81A,1484,51.80828857421875,19.396270751953125,1349,Traktorowa-św. Teresy NŻ,28,0,autobus,1764788360,51.80761,19.39626
59,11312_9795,99,1485,51.76966094970703,19.438400268554688,1407,Więckowskiego-Żeligowskiego,19,2,autobus,1764788358,51.76992,19.43759
60,11312_9630,96,1489,51.76654052734375,19.42729949951172,749,Włókniarzy-Karolewska (Dw. Ł. Kaliska),16,0,autobus,1764788360,51.75837,19.43371
61,11312_9445,96,1491,51.787540435791016,19.429460525512695,301,Lutomierska-Klonowa,30,2,autobus,1764788366,51.7882,19.42729
62,11312_3188,53A,1493,51.793861389160156,19.590009689331055,1017,Pomorska-Nowosolna,4,2,autobus,1764788362,51.7932,19.58952
63,11312_7523,81A,1494,51.79909133911133,19.449480056762695,344,Pojezierska-Zgierska,16,2,autobus,1764788364,51.79736,19.44332
64,11312_4950,65A,1496,51.78464889526367,19.4265193939209,369,Kutrzeby-Odolanowska,28,2,autobus,1764788364,51.785,19.43174
65,11312_9361,96,1497,51.79426956176758,19.376829147338867,1130,Rojna-Rydzowa,41,0,autobus,1764788362,51.79464,19.37508
66,11312_7609,81A,1499,51.79690170288086,19.409730911254883,87,Brukowa-Pojezierska,12,2,autobus,1764788362,51.80011,19.41086
67,11312_6281,73,1551,51.781150817871094,19.443220138549805,208,Drewnowska-Piwna,4,1,autobus,1764788358,51.78108,19.44308
68,11312_8190,86,1552,51.739830017089844,19.40081024169922,713,Maratońska-Plocka,20,0,autobus,1764788350,51.73871,19.39729
69,11312_3917,58B,1553,51.78179168701172,19.522239685058594,317,Janosika-Telefoniczna,13,2,autobus,1764788364,51.78266,19.52236
70,11312_4825,64B,1555,51.792388916015625,19.523820877075195,102,Janosika-Powstańców Śląskich,15,0,autobus,1764788352,51.79239,19.5237
71,11312_8613,88C,1556,51.812660217285156,19.553939819335938,735,Marmurowa-Moskuliki,17,2,autobus,1764788352,51.81051,19.5497
72,11312_4898,64B,1558,51.78704071044922,19.44968032836914,3163,Zachodnia-Limanowskiego,31,2,autobus,1764788358,51.78767,19.44933
73,11312_8659,89,1560,51.80630111694336,19.42593002319336,611,Włókniarzy-Liściasta NŻ,16,2,autobus,1764788362,51.80966,19.42571
74,11312_7586,81A,1592,51.79983901977539,19.476970672607422,306,Zagajnikowa-Inflancka,22,0,autobus,1764788360,51.79939,19.47682
75,11312_9405,96,1593,51.74784851074219,19.55091094970703,1499,Przybyszewskiego-Augustów NŻ,8,2,autobus,1764788354,51.74904,19.54762
76,11312_8168,86,1596,51.7370491027832,19.39185905456543,702,Maratońska-Maratońska 91 NŻ,5,0,autobus,1764788360,51.73683,19.39123
77,11312_6847,78,1598,51.8159294128418,19.320959091186523,1920,Wojska Polskiego-Bratoszewskiego (Aleks.,17,0,autobus,1764788354,51.81617,19.31961
78,11312_9541,96,1599,51.795570373535156,19.361419677734375,1122,Rojna-Wici,2,2,autobus,1764788362,51.79473,19.36999
79,11312_3895,58B,1906,51.775428771972656,19.53318977355957,1212,Zbocze-Potokowa NŻ,10,2,autobus,1764788360,51.77654,19.53094
80,11312_8029,84B,1910,51.79587936401367,19.361299514770508,2463,Teofilów Rojna,11,2,autobus,1764788358,51.7958,19.36141
81,11312_4353,60A,1941,0.0,0.0,1259,Strykowska-Łodzianka NŻ,17,2,autobus,1764788362,51.82496,19.51999
82,11312_7984,84A,1942,51.80282974243164,19.36870002746582,1766,Aleksandrowska-Szczecińska,5,1,autobus,1764788358,51.80258,19.37003
83,11312_4853,64B,1943,51.791011810302734,19.48615074157715,1227,Sporna-Wojska Polskiego,23,2,autobus,1764788362,51.78967,19.47902
84,11312_6310,73,1944,51.789119720458984,19.448810577392578,634,Zachodnia-Lutomierska NŻ,12,0,autobus,1764788366,51.78251,19.45032
85,11312_8337,87A,1945,51.784358978271484,19.42630958557129,300,Kasprzaka-Kutrzeby,5,1,autobus,1764788362,51.78442,19.42628
86,11312_8629,88D,1947,51.79676818847656,19.517309188842773,100,Brzezińska-Janosika,12,2,autobus,1764788362,51.79653,19.52353
87,11312_6724,77,2002,51.761741638183594,19.481069564819336,1051,Przędzalniana-Piłsudskiego,4,0,autobus,1764788358,51.76201,19.48098
88,11312_6120,72A,2099,51.76985168457031,19.428260803222656,833,Legionów-Włókniarzy,45,2,autobus,1764788360,51.76944,19.42697
